"Date","Price","Open","High","Low","Vol.","Change %"
"05-02-2020","12,089.15","12,005.85","12,098.15","11,953.35","758.03B","0.91%"
"04-02-2020","11,979.65","11,786.25","11,986.15","11,783.40","560.43B","2.32%"
"03-02-2020","11,707.90","11,627.45","11,749.85","11,614.50","669.82B","0.39%"
"01-02-2020","11,661.85","11,939.00","12,017.35","11,633.30","537.63B","-2.51%"
"31-01-2020","11,962.10","12,100.40","12,103.55","11,945.85","771.28B","-0.61%"
"30-01-2020","12,035.80","12,147.75","12,150.30","12,010.60","538.14B","-0.77%"
"29-01-2020","12,129.50","12,114.90","12,169.60","12,103.80","514.36B","0.61%"
"28-01-2020","12,055.80","12,148.10","12,163.55","12,024.50","478.48B","-0.52%"
"27-01-2020","12,119.00","12,197.10","12,216.60","12,107.00","441.16B","-1.06%"
"24-01-2020","12,248.25","12,174.55","12,272.15","12,149.65","593.24B","0.56%"
"23-01-2020","12,180.35","12,123.75","12,189.00","12,094.10","867.65B","0.61%"
"22-01-2020","12,106.90","12,218.35","12,225.05","12,087.90","526.30B","-0.52%"
"21-01-2020","12,169.85","12,195.30","12,230.05","12,162.30","443.98B","-0.45%"
"20-01-2020","12,224.55","12,430.50","12,430.50","12,216.90","491.61B","-1.03%"
"17-01-2020","12,352.35","12,328.40","12,385.45","12,321.40","502.06B","-0.03%"
"16-01-2020","12,355.50","12,347.10","12,389.05","12,315.80","395.67B","0.10%"
"15-01-2020","12,343.30","12,349.40","12,355.15","12,278.75","684.35B","-0.15%"
"14-01-2020","12,362.30","12,333.10","12,374.25","12,308.70","616.26B","0.27%"
"13-01-2020","12,329.55","12,296.70","12,337.75","12,285.80","500.97B","0.59%"
"10-01-2020","12,256.80","12,271.00","12,311.20","12,213.20","660.63B","0.33%"
"09-01-2020","12,215.90","12,153.15","12,224.05","12,132.55","477.47B","1.58%"
"08-01-2020","12,025.35","11,939.10","12,044.95","11,929.60","445.99B","-0.23%"
"07-01-2020","12,052.95","12,079.10","12,152.15","12,005.35","447.82B","0.50%"
"06-01-2020","11,993.05","12,170.60","12,179.10","11,974.20","396.50B","-1.91%"
"03-01-2020","12,226.65","12,261.10","12,265.60","12,191.35","428.77B","-0.45%"
"02-01-2020","12,282.20","12,198.55","12,289.90","12,195.25","407.70B","0.82%"
"01-01-2020","12,182.50","12,202.15","12,222.20","12,165.30","304.08B","0.12%"
"31-12-2019","12,168.45","12,247.10","12,247.10","12,151.80","426.93B","-0.71%"
"30-12-2019","12,255.85","12,274.90","12,286.45","12,213.80","411.09B","0.08%"
"27-12-2019","12,245.80","12,172.90","12,258.45","12,157.90","383.79B","0.98%"
"26-12-2019","12,126.55","12,211.85","12,221.55","12,118.85","520.33B","-0.72%"
"24-12-2019","12,214.55","12,269.25","12,283.70","12,202.10","470.29B","-0.39%"
"23-12-2019","12,262.75","12,235.45","12,287.15","12,213.25","604.78B","-0.07%"
"20-12-2019","12,271.80","12,266.45","12,293.90","12,252.75","810.68B","0.10%"
"19-12-2019","12,259.70","12,223.40","12,268.35","12,191.15","623.05B","0.31%"
"18-12-2019","12,221.65","12,197.00","12,237.70","12,163.45","518.86B","0.47%"
"17-12-2019","12,165.00","12,082.45","12,182.75","12,070.35","499.59B","0.92%"
"16-12-2019","12,053.95","12,131.35","12,134.65","12,046.30","437.70B","-0.27%"
"13-12-2019","12,086.70","12,026.40","12,098.85","12,023.60","597.71B","0.96%"
"12-12-2019","11,971.80","11,944.30","12,005.50","11,934.00","752.62B","0.52%"
"11-12-2019","11,910.15","11,867.35","11,923.20","11,832.30","997.65B","0.45%"
"10-12-2019","11,856.80","11,950.50","11,953.20","11,844.70","650.22B","-0.68%"
"09-12-2019","11,937.50","11,939.10","11,981.95","11,888.05","599.12B","0.13%"
"06-12-2019","11,921.50","12,047.35","12,057.05","11,888.85","609.22B","-0.81%"
"05-12-2019","12,018.40","12,071.25","12,081.20","11,998.75","562.23B","-0.21%"
"04-12-2019","12,043.20","11,969.95","12,054.70","11,935.30","747.19B","0.41%"
"03-12-2019","11,994.20","12,067.65","12,068.60","11,956.40","605.79B","-0.45%"
"02-12-2019","12,048.20","12,137.05","12,137.15","12,023.70","720.95B","-0.07%"
"29-11-2019","12,056.05","12,146.20","12,147.40","12,017.40","804.43B","-0.78%"
"28-11-2019","12,151.15","12,132.10","12,158.80","12,099.95","620.48B","0.42%"
"27-11-2019","12,100.70","12,068.50","12,114.90","12,055.15","584.23B","0.52%"
"26-11-2019","12,037.70","12,110.20","12,132.45","12,006.35","1,201.34B","-0.30%"
"25-11-2019","12,073.75","11,922.45","12,084.50","11,919.75","534.29B","1.34%"
"22-11-2019","11,914.40","11,967.30","11,968.10","11,883.50","486.82B","-0.45%"
"21-11-2019","11,968.40","12,025.65","12,028.20","11,956.90","557.69B","-0.26%"
"20-11-2019","11,999.10","12,004.75","12,038.60","11,966.05","646.66B","0.49%"
"19-11-2019","11,940.10","11,919.45","11,958.85","11,881.75","613.91B","0.47%"
"18-11-2019","11,884.50","11,915.15","11,946.20","11,867.60","514.35B","-0.09%"
"15-11-2019","11,895.45","11,904.20","11,973.65","11,879.25","580.15B","0.20%"
"14-11-2019","11,872.10","11,858.75","11,895.65","11,802.65","559.49B","0.27%"
"13-11-2019","11,840.45","11,908.30","11,946.80","11,823.20","659.04B","-0.61%"
"11-11-2019","11,913.45","11,879.20","11,932.65","11,853.95","548.98B","0.04%"
"08-11-2019","11,908.15","11,987.15","12,034.15","11,888.75","789.25B","-0.86%"
"07-11-2019","12,012.05","12,021.10","12,021.40","11,946.85","562.96B","0.38%"
"06-11-2019","11,966.05","11,911.50","12,002.90","11,850.25","603.35B","0.41%"
"05-11-2019","11,917.20","11,974.60","11,978.95","11,861.90","631.95B","-0.20%"
"04-11-2019","11,941.30","11,928.90","11,989.15","11,905.35","823.05B","0.43%"
"01-11-2019","11,890.60","11,886.60","11,918.30","11,843.35","855.34B","0.11%"
"31-10-2019","11,877.45","11,890.45","11,945.00","11,855.10","1,414.84B","0.28%"
"30-10-2019","11,844.10","11,883.90","11,883.95","11,784.45","725.22B","0.49%"
"29-10-2019","11,786.85","11,643.95","11,809.40","11,627.35","951.72B","1.37%"
"27-10-2019","11,627.15","11,662.25","11,672.40","11,604.60","161.78B","0.37%"
"25-10-2019","11,583.90","11,646.15","11,646.90","11,490.75","812.03B","0.01%"
"24-10-2019","11,582.60","11,661.65","11,679.60","11,534.65","700.48B","-0.19%"
"23-10-2019","11,604.10","11,596.20","11,651.60","11,554.40","664.16B","0.14%"
"22-10-2019","11,588.35","11,657.15","11,714.35","11,573.65","867.60B","-0.63%"
